state_name_full,median_income,year,population,latitude,longitude,capital,region
Vermont,57513,2017,624344,44.558803,-72.577841,Montpelier,northeast
Connecticut,73433,2016,3578141,41.603221,-73.087749,Hartford,northeast
Maine,55277,2016,1331317,45.253783,-69.445469,Augusta,northeast
Massachusetts,75297,2016,6823608,42.407211,-71.382437,Boston,northeast
New Hampshire,70936,2016,1348787,43.193852,-71.572395,Concord,northeast
New Jersey,76126,2016,8870827,40.058324,-74.405661,Trenton,northeast
New York,62909,2016,19633428,43.299428,-74.217933,Albany,northeast
Pennsylvania,56907,2016,12782275,41.203322,-77.194525,Harrisburg,northeast
Rhode Island,60596,2016,1056770,41.580095,-71.477429,Providence,northeast
Vermont,57677,2016,623657,44.558803,-72.577841,Montpelier,northeast
Alabama,55935,2020,5024279,32.318231,-86.902298,Montgomery,south
Arkansas,54322,2020,3011524,35.20105,-91.831833,Little Rock,south
Delaware,74051,2020,989948,38.910832,-75.52767,Dover,south
District of Columbia,93000,2020,689545,38.905985,-77.033418,D.C.,south
Florida,58150,2020,21538187,27.664827,-81.515754,Tallahassee,south
Georgia,56480,2020,10711908,32.157435,-82.907123,Atlanta,south
Kentucky,55520,2020,4505836,37.839333,-84.270018,Frankfort,south
Louisiana,51760,2020,4657757,31.244823,-92.145024,Baton Rouge,south
Maryland,95310,2020,6177224,39.045755,-76.641271,Annapolis,south
Mississippi,44092,2020,2961279,32.354668,-89.398528,Jackson,south
North Carolina,60300,2020,10439388,35.759573,-79.0193,Raleigh,south
Oklahoma,59303,2020,3959353,35.007752,-97.092877,Oklahoma City,south
South Carolina,61476,2020,5118425,33.836081,-81.163725,Columbia,south
Tennessee,56615,2020,6910840,35.517491,-86.580447,Nashville,south
Texas,67280,2020,29145505,31.968599,-99.901813,Austin,south
Virginia,81000,2020,8631393,37.431573,-78.656894,Richmond,south
West Virginia,53520,2020,1793716,38.597626,-80.454903,Charleston,south
Alabama,49396,2019,4903185,32.318231,-86.902298,Montgomery,south
Arkansas,49778,2019,3017804,35.20105,-91.831833,Little Rock,south
Delaware,65002,2019,973764,38.910832,-75.52767,Dover,south
District of Columbia,85101,2019,705749,38.905985,-77.033418,D.C.,south
Florida,54401,2019,21477737,27.664827,-81.515754,Tallahassee,south
Georgia,56000,2019,10617423,32.157435,-82.907123,Atlanta,south
Kentucky,54616,2019,4467673,37.839333,-84.270018,Frankfort,south
Louisiana,49665,2019,4648794,31.244823,-92.145024,Baton Rouge,south
Maryland,86051,2019,6045680,39.045755,-76.641271,Annapolis,south
Mississippi,43000,2019,2976149,32.354668,-89.398528,Jackson,south
North Carolina,52943,2019,10488084,35.759573,-79.0193,Raleigh,south
Oklahoma,54005,2019,3956971,35.007752,-97.092877,Oklahoma City,south
South Carolina,57090,2019,5148714,33.836081,-81.163725,Columbia,south
Tennessee,55601,2019,6829174,35.517491,-86.580447,Nashville,south
Texas,59703,2019,28995881,31.968599,-99.901813,Austin,south
Virginia,76786,2019,8535519,37.431573,-78.656894,Richmond,south
West Virginia,50180,2019,1792147,38.597626,-80.454903,Charleston,south
Alabama,49861,2018,4887681,32.318231,-86.902298,Montgomery,south
Arkansas,47062,2018,3009733,35.20105,-91.831833,Little Rock,south
Delaware,64805,2018,965479,38.910832,-75.52767,Dover,south
District of Columbia,85203,2018,701547,38.905985,-77.033418,D.C.,south
Florida,55462,2018,21244317,27.664827,-81.515754,Tallahassee,south
Georgia,58756,2018,10511131,32.157435,-82.907123,Atlanta,south
Kentucky,50247,2018,4461153,37.839333,-84.270018,Frankfort,south
Louisiana,47905,2018,4659690,31.244823,-92.145024,Baton Rouge,south
Maryland,83242,2018,6035802,39.045755,-76.641271,Annapolis,south
Mississippi,44717,2018,2981020,32.354668,-89.398528,Jackson,south
North Carolina,53855,2018,10381615,35.759573,-79.0193,Raleigh,south
Oklahoma,51924,2018,3940235,35.007752,-97.092877,Oklahoma City,south
South Carolina,52306,2018,5084156,33.836081,-81.163725,Columbia,south
Tennessee,52375,2018,6771631,35.517491,-86.580447,Nashville,south
Texas,60629,2018,28628666,31.968599,-99.901813,Austin,south
Virginia,72577,2018,8501286,37.431573,-78.656894,Richmond,south
West Virginia,44097,2018,1804291,38.597626,-80.454903,Charleston,south
Alabama,48123,2017,4874486,32.318231,-86.902298,Montgomery,south
Arkansas,45869,2017,3001345,35.20105,-91.831833,Little Rock,south
Delaware,62852,2017,956823,38.910832,-75.52767,Dover,south
District of Columbia,82372,2017,694906,38.905985,-77.033418,D.C.,south
Florida,52594,2017,20963613,27.664827,-81.515754,Tallahassee,south
Georgia,56183,2017,10410330,32.157435,-82.907123,Atlanta,south
Kentucky,48375,2017,4452268,37.839333,-84.270018,Frankfort,south
Louisiana,46145,2017,4670560,31.244823,-92.145024,Baton Rouge,south
Maryland,80776,2017,6023868,39.045755,-76.641271,Annapolis,south
Mississippi,43529,2017,2988510,32.354668,-89.398528,Jackson,south
North Carolina,52752,2017,10268233,35.759573,-79.0193,Raleigh,south
Oklahoma,50051,2017,3931316,35.007752,-97.092877,Oklahoma City,south
South Carolina,50570,2017,5021268,33.836081,-81.163725,Columbia,south
Tennessee,51340,2017,6708799,35.517491,-86.580447,Nashville,south
Texas,59206,2017,28295273,31.968599,-99.901813,Austin,south
Virginia,71535,2017,8463587,37.431573,-78.656894,Richmond,south
West Virginia,43469,2017,1817004,38.597626,-80.454903,Charleston,south
Alabama,46257,2016,4863525,32.318231,-86.902298,Montgomery,south
Arkansas,45869,2016,2989918,35.20105,-91.831833,Little Rock,south
Delaware,62852,2016,948921,38.910832,-75.52767,Dover,south
District of Columbia,75506,2016,685815,38.905985,-77.033418,D.C.,south
Florida,50860,2016,20613477,27.664827,-81.515754,Tallahassee,south
Georgia,53559,2016,10301890,32.157435,-82.907123,Atlanta,south
Kentucky,46659,2016,4438182,37.839333,-84.270018,Frankfort,south
Louisiana,45146,2016,4678135,31.244823,-92.145024,Baton Rouge,south
Maryland,78945,2016,6003323,39.045755,-76.641271,Annapolis,south
Mississippi,41754,2016,2987938,32.354668,-89.398528,Jackson,south
North Carolina,50584,2016,10154788,35.759573,-79.0193,Raleigh,south
Oklahoma,49176,2016,3926331,35.007752,-97.092877,Oklahoma City,south
South Carolina,49501,2016,4957968,33.836081,-81.163725,Columbia,south
Tennessee,48547,2016,6646010,35.517491,-86.580447,Nashville,south
Texas,56565,2016,27914410,31.968599,-99.901813,Austin,south
Virginia,68114,2016,8410106,37.431573,-78.656894,Richmond,south
West Virginia,43385,2016,1831023,38.597626,-80.454903,Charleston,south
